workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
albert-base-v2_batch2-train,vit_h_14_batch8-train,"(3.367317335985743, 8.658057716607265)","(6.607214112712391, 7.816816386666394)","(9.422985061220825, 6.873501482211216)","(11.917228668370125, 5.841224210498148)","(14.54044766774187, 4.943687900582695)","(17.29746278366691, 3.958262094977566)","(19.596515789455424, 2.8502091956552964)","(22.035441499223698, 2.0019574112384753)","(24.423866462884714, 0.9708225878902589)","(7.616318869883353, 7.711524388705241)"
albert-base-v2_batch2-train,mobilenet_batch16-train,"(3.8968824940047964, 354.23669873652483)","(7.392861268337762, 391.4435762776995)","(None, None)","(13.546112451289664, 351.54722190268035)","(16.100732789761587, 406.0050484920951)","(18.724838498267953, 379.5330352707402)","(20.606417427141594, 391.24311867878635)","(22.81439925198691, 356.59276546091013)","(24.590163934426226, 382.0)","(24.623803009575923, 374.4180347953932)"
albert-base-v2_batch2-train,vit_h_14_batch16-train,"(None, None)","(6.6109696677609255, 8.334446956535968)","(9.466895958727429, 7.079629616759448)","(11.896528380044863, 6.008603943342955)","(14.650447883362617, 5.035915503402045)","(17.30501319717029, 4.026790808481032)","(19.668371930738584, 3.0924820102752166)","(22.0484785273757, 2.1114290076905484)","(24.36450589843957, 1.023965346010489)","(5.188882995882794, 9.091531131651678)"
albert-base-v2_batch2-train,resnet-50_batch16-train,"(None, None)","(6.671114076050701, 180.45467965751405)","(9.572153734590284, 166.43067204008278)","(12.094370155864066, 148.80459658177924)","(14.681954062133425, 132.50661232276806)","(17.359855334538878, 114.95204062441226)","(19.479992424447392, 93.56152221167683)","(21.929555895865235, 68.96551724137932)","(24.397829768116942, 38.17995552335024)","(18.238540916726663, 122.38686423708451)"
albert-base-v2_batch2-train,bert-base-cased_batch16-train,"(3.3413273692436207, 30.430220356768103)","(6.512334315169366, 26.846414210084763)","(9.311593130727271, 23.301068384116103)","(11.80074319574169, 19.943693451677376)","(14.359333917616127, 16.716353385151628)","(17.252292370341742, 13.328737217051593)","(19.544512017527463, 10.357605250234386)","(22.01465528925596, 6.859668769657793)","(24.43862205060467, 3.4556849368629976)","(6.272286945512411, 27.82191575475941)"
albert-base-v2_batch2-train,mobilenet_batch2-train,"(3.8965639390719096, 54.13065041802465)","(7.397361607693256, 52.8573405285734)","(10.843634786380395, 51.254528377834426)","(13.538461538461538, 58.93242826288183)","(16.13250161325016, 55.16245487364621)","(18.641500640801585, 58.213959158793045)","(20.684467845054535, 48.736922684358255)","(22.7825702278257, 57.09161560304887)","(24.63605823068309, 57.79996973823574)","(24.860281364424743, 49.9281139720298)"
albert-base-v2_batch2-train,resnet-50_batch2-train,"(3.7470725995316156, 45.819839270720884)","(7.132995858260469, 48.19581125410043)","(10.333939335948713, 44.172062904717855)","(12.848370335380254, 46.30864347193599)","(15.294468169629555, 50.609432962374136)","(17.885602975030988, 45.07374631268437)","(19.72248887337464, 43.892910490635415)","(22.0675355450237, 35.95294117647059)","(24.309191059316248, 21.16695295617)","(22.451612903225808, 31.04933755994473)"
albert-base-v2_batch2-train,bert-base-cased_batch8-train,"(None, None)","(6.434385355338931, 24.803637866887144)","(9.264523585389268, 21.80579216354344)","(11.7891647303412, 19.130174861754597)","(14.490166914559577, 15.515903801396432)","(17.250043698654082, 12.798549497723592)","(19.528319877948, 9.98523018035822)","(22.0098367039423, 6.639256679887547)","(24.44736637674321, 3.3776473630601487)","(8.872708463887479, 23.302384853449848)"
albert-base-v2_batch2-train,albert-base-v2_batch2-train,"(3.263889606164207, 24.498280171240502)","(6.4251836785127034, 21.894420240175155)","(9.179261177368888, 19.402253797158256)","(11.598595345990761, 17.123583845022917)","(14.364667786623816, 14.351049873522314)","(17.096115322675676, 11.578676522186615)","(19.372772519392186, 9.15069531419698)","(21.938825368904524, 6.398510892010586)","(24.392189438302996, 3.247983543550046)","(14.421697418815574, 14.474848123752642)"
albert-base-v2_batch2-train,albert-base-v2_batch8-train,"(3.185397732300186, 27.89724514704173)","(None, None)","(9.083048919226394, 21.249045453036288)","(11.529342989834692, 19.059152860361923)","(14.210148240057467, 15.488367590590817)","(17.042950193447282, 12.792921250241534)","(19.351223877102168, 9.862388855500592)","(21.906349379189805, 6.58093175025364)","(24.395842957429142, 3.3415654189748705)","(8.02573135242763, 23.699022415325366)"
albert-base-v2_batch2-train,albert-base-v2_batch16-train,"(3.2028929355546945, 28.834651296471794)","(6.2469432217331375, 25.801070410787517)","(8.989321602045978, 22.503789026977874)","(11.444132855683973, 19.395966140662555)","(14.056992978333925, 16.243939155245148)","(16.92561694311112, 12.993468261913595)","(19.30434708757447, 10.118246097987798)","(21.85501669401845, 6.745190962316333)","(24.39249798459047, 3.3897128788999504)","(5.435763262360159, 27.321841280122477)"
albert-base-v2_batch2-train,resnet-50_batch8-train,"(3.5700624760933315, 153.7378005835597)","(None, None)","(9.82654656443088, 132.03145251879374)","(12.309728656518862, 120.63792831201641)","(14.877410140442754, 110.0547392682224)","(17.494824016563147, 96.93586246272918)","(19.572025052192068, 77.84797228449155)","(21.98827292110874, 58.45000382526203)","(24.32143204591886, 33.08791684711996)","(20.318139286191684, 80.91506036856597)"
albert-base-v2_batch2-train,bert-base-cased_batch2-train,"(3.23670137911624, 22.065952680790364)","(6.373638484286318, 19.91931670707538)","(9.067932909550434, 17.634014053774838)","(11.456727630099826, 15.612063867534003)","(14.220300901567077, 13.214359604103127)","(16.986651361709217, 10.76180537438038)","(19.254399397792646, 8.580268848423918)","(21.857951969820917, 6.064745755443722)","(24.376071201051275, 3.108920560799024)","(15.088969579236855, 12.435311259609104)"
albert-base-v2_batch2-train,mobilenet_batch8-train,"(None, None)","(7.398033680521756, 163.61494806724488)","(10.839508903882313, 211.83973381394705)","(13.556536921022902, 201.6629272799261)","(16.110902959910078, 185.48191308570043)","(18.739020105406986, 201.2114827495391)","(20.51505892623309, 219.79286536248563)","(22.768933912204535, 190.90454772613694)","(24.616010578781406, 202.49138616485556)","(24.53385672227674, 202.43773184949654)"
albert-base-v2_batch8-train,bert-base-cased_batch16-train,"(3.428816344024573, 30.513267352776772)","(6.698722421689651, 26.927820094305407)","(10.020667626980647, 23.27214364530043)","(13.064589373668216, 19.976536180563777)","(15.623986566830737, 16.704167041670416)","(19.134189296670833, 13.279528347786266)","(21.66002425922717, 10.194217418050796)","(24.555277901390934, 6.746980944141105)","(27.967729542835194, 3.3676387336517104)","(12.947857129645044, 21.03020826251501)"
