workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-train,whisper-large-v2_batch16-inf,"(3.506644513912402, 23.724109338200996)","(6.643906927193046, 22.041279250168518)","(9.483481409980905, 21.301071516279553)","(11.695428150813774, 18.397990510745185)","(14.075018278001707, 17.174180370578796)","(16.327163497622184, 14.710397966251776)","(17.99810546258289, 11.731274096093943)","(20.047670477822056, 8.121795389895462)","(22.028034240019092, 4.552279951957978)","(14.117027475782837, 22.297147372237887)"
bert-base-cased_batch2-train,whisper-large-v2_batch8-inf,"(3.5605394951467, 10.276159310399873)","(6.715366101558819, 9.5128585216279)","(9.575668870393569, 9.334360415061852)","(11.84303503875275, 8.353897032136144)","(14.087688813926668, 7.5724297390636295)","(16.307819146285667, 6.712984084362006)","(18.109066136645218, 5.497980959904773)","(20.10680506195822, 4.1038554327276495)","(22.030901150388715, 2.1651767062722334)","(15.14391887094102, 9.754804004204983)"
bert-base-cased_batch2-train,whisper-large-v2_batch2-inf,"(3.6054974669852538, 1.6636892551517835)","(6.824210845740672, 1.5256185420418997)","(9.715168911459484, 1.52397523762177)","(11.976564892395732, 1.473556808476242)","(14.254135127381009, 1.375223807660931)","(16.513114392770554, 1.1937323258077974)","(18.149776323179115, 1.0471960056080905)","(20.116194454976416, 0.8434665328038874)","(21.98477056021903, 0.5058387543205014)","(17.127799736495387, 1.5928738227425268)"
bert-base-cased_batch2-train,bert-base-cased_batch16-inf,"(3.238219399878041, 92.51851558477564)","(6.225542511561722, 84.32147562582345)","(8.761333702027333, 69.96630475477349)","(10.971389990716517, 58.24855376022342)","(13.323962344463032, 48.15204172077588)","(15.754875003950572, 38.46818881688912)","(17.774315335290943, 29.11610921033771)","(19.929799041851787, 19.111120201255805)","(22.08037414186739, 9.56395176263713)","(4.5703125, 88.73020093440194)"
bert-base-cased_batch2-train,resnet-50_batch8-inf,"(3.7049234315824138, 86.56981915209012)","(None, None)","(10.162324375937798, 83.35712246645733)","(12.6147913330501, 80.16197110600186)","(14.923920449015345, 80.06855184233076)","(17.174325627702935, 78.3156765455277)","(18.84459101348566, 74.0928698299924)","(20.684168655529035, 67.27335560419307)","(22.17021800714374, 51.630014366228316)","(21.762043524087048, 78.94025412273588)"
bert-base-cased_batch2-train,resnet-50_batch2-inf,"(None, None)","(7.029478458049886, 63.98597567656404)","(10.196940917724682, 65.83248788186225)","(12.67223172080861, 63.79724710509067)","(14.991616530229807, 65.17857142857142)","(17.254749903063203, 65.73615488518685)","(18.88898428779943, 60.449228858296244)","(20.705719955137607, 59.42810623791595)","(22.239978692235983, 44.63125716469239)","(21.97265625, 56.611089569600615)"
bert-base-cased_batch2-train,resnet-50_batch16-inf,"(3.6976408281174775, 88.04960328678314)","(6.982027743401245, 87.8211996466099)","(None, None)","(12.612141799494816, 85.15136603058305)","(14.88808615509267, 82.88831721813182)","(17.128147585888254, 80.96352135863444)","(18.732715021314956, 75.45707087021125)","(20.658653100911746, 69.72093717355618)","(22.260503825674526, 55.05668292912866)","(21.457588278184787, 85.78458374646542)"
bert-base-cased_batch2-train,bert-base-cased_batch8-inf,"(3.264369844280736, 88.68640850417616)","(6.270649315622682, 78.02010620887746)","(8.943733725800973, 67.90302889366897)","(11.185954332125576, 58.90362600231983)","(13.48254011055683, 47.06071960997623)","(15.877334784487587, 39.113254303127725)","(17.754346978096667, 28.83559022848749)","(19.94308657856781, 18.99356853051899)","(22.106468770102136, 9.521635634395277)","(7.317915084570245, 80.3080308030803)"
bert-base-cased_batch2-train,mobilenet_v2_1.0_224_batch2-inf,"(3.7383177570093458, 66.43157774997155)","(7.043053504487106, 66.45425580336823)","(10.276679841897234, 61.969439728353144)","(12.774605632439757, 62.80245187654587)","(15.080990504561534, 62.220328148305995)","(17.333333333333332, 63.78331148973351)","(19.020531508310373, 61.209516822136045)","(20.822304570319393, 61.90375238499046)","(22.36575725441049, 64.81687014428412)","(22.507440476190474, 63.665104109887714)"
bert-base-cased_batch2-train,vit-base-patch16-224_batch8-inf,"(None, None)","(6.940141281447515, 75.5864746804724)","(9.890800983362873, 71.75549070803257)","(12.200319659030368, 66.39947699042096)","(14.612973233662888, 61.059124888912116)","(16.757382248317835, 54.238547447119736)","(18.526521485879634, 46.894447344120124)","(20.400430439988483, 37.7370682691997)","(22.235409103602347, 21.50894057418559)","(18.635553394911682, 70.19441689954625)"
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,"(3.7054191755442334, 66.6286366229321)","(7.000205888408482, 62.07482993197279)","(10.101972743733917, 61.02403343782654)","(12.554927809165097, 58.476018824471815)","(14.833320321648841, 54.29527705466716)","(16.999516273927163, 47.95139173988012)","(18.71627052474452, 39.877091157391604)","(20.558002936857562, 32.45165592353857)","(22.257840142740495, 19.5540079019621)","(19.822143778426447, 48.476799203121104)"
bert-base-cased_batch2-train,vit-base-patch16-224_batch16-inf,"(3.6056219697897887, 81.07170125633372)","(6.797680412371134, 77.93290963986055)","(9.65432726077145, 73.5782792887853)","(12.08577543398285, 68.61204529099908)","(14.469597228790919, 63.164156504339836)","(16.63365419142602, 57.39134707515416)","(18.378134531082978, 48.36839489812821)","(20.297709751758408, 36.80391986954775)","(22.227381919824253, 21.795822778314275)","(17.644395171993814, 78.25009211804509)"
bert-base-cased_batch2-train,mobilenet_v2_1.0_224_batch16-inf,"(3.7225042301184432, 94.88028269125323)","(7.021883540465599, 94.59787802705111)","(None, None)","(12.71483008009954, 94.60554025595334)","(15.022686544400807, 93.11038922215357)","(17.245240761478165, 92.05185798163691)","(18.97547299429993, 91.6869456001256)","(20.816738356964578, 87.25045287317684)","(22.394625289930417, 78.94025412273588)","(22.459990855052585, 90.39897836771023)"
bert-base-cased_batch2-train,wav2vec2-base-960h_batch2-inf,"(None, None)","(6.975306825205287, 17.512241566920565)","(10.113157246555296, 17.36579444294578)","(12.461576804851708, 16.54698218388035)","(14.784435837067416, 15.150400823711113)","(17.003712552014985, 13.22258880316315)","(18.592534039923848, 13.149999361650517)","(20.40465409525993, 11.073244675704442)","(21.844374415624895, 7.801080033022048)","(20.42883673813946, 17.095151947685515)"
bert-base-cased_batch2-train,wav2vec2-base-960h_batch8-inf,"(3.685466574026523, 69.47371971063859)","(6.932839840351337, 66.11039794608472)","(10.03714728529607, 58.795827208768)","(12.406154475808, 61.4806082401922)","(14.626718939203203, 57.322536661379644)","(16.84572219061325, 53.11057828653931)","(18.51741234095932, 46.64802255409246)","(20.285019463326776, 38.05899143672693)","(21.870368755993375, 24.36197639490054)","(19.559565893178913, 67.45583443849567)"
bert-base-cased_batch2-train,bert-base-cased_batch2-inf,"(None, None)","(6.605892456070815, 70.97715119105494)","(9.344778876453331, 60.73842953718149)","(11.547742157876595, 52.371984575374405)","(13.884115746786721, 42.96012946888333)","(16.184591831155338, 34.218081678092226)","(18.09605488850772, 26.89756816507001)","(20.114423366455885, 18.789009716234474)","(22.197055492638732, 9.283545551369482)","(13.38529312097594, 52.98974684692859)"
