workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
albert-base-v2_batch2-train,whisper-large-v2_batch8-inf,"(3.7245300679663873, 3.4413942968646056)","(7.229268292682927, 3.0100931215234588)","(10.17544967530759, 2.5916541611189534)","(12.727625383845613, 2.103243222732373)","(15.617876372786085, 1.7623960106864183)","(18.362053014240608, 1.4365821193659045)","(20.495574153634195, 1.062131498996952)","(23.04440168988178, 0.7458856142118123)","(25.49370839819958, 0.35129420527532834)","(5.828933591593654, 3.443236879315139)"
albert-base-v2_batch2-train,whisper-large-v2_batch2-inf,"(3.850387489805832, 2.9083422449203953)","(None, None)","(10.510311543209445, 2.259860680753908)","(13.018025923233134, 2.011057360055287)","(15.949615779917524, 1.603213037262307)","(18.68354212406905, 1.2864607739984615)","(20.700810352006663, 0.9964217843140611)","(23.169172026468463, 0.714319028133369)","(25.735165209286965, 0.3446656476723521)","(10.70446496624851, 2.779515638357316)"
albert-base-v2_batch2-train,bert-base-cased_batch8-inf,"(None, None)","(7.09061292280175, 82.43348154421625)","(10.064979952993225, 71.69822902918878)","(12.715449512896754, 63.015915834906934)","(15.567086730911786, 50.351338535155406)","(18.38637514083702, 41.92691506927992)","(20.577922863015356, 30.55112343386257)","(23.198024881364628, 19.932931147764798)","(25.836079655739194, 9.891180082144219)","(9.726069559864573, 83.92010346314126)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch8-inf,"(4.181946857106093, 79.11403122565787)","(7.961875980705527, 76.31742298016923)","(11.403060538418094, 73.05479109331999)","(14.074595355383535, 67.34317343173431)","(16.852610271618886, 63.20688348936631)","(19.463703951215436, 55.34889231133752)","(21.527790256788084, 47.68222734788022)","(23.854230821228462, 39.2018661162295)","(26.033324779442346, 22.266068075452996)","(22.468068478765232, 68.61103768320264)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch2-inf,"(4.235493434985176, 67.04936854190585)","(8.041547997989612, 66.01107720131118)","(11.580594679186229, 63.388689894714)","(14.333426106317841, 59.6648957907642)","(17.023576302100924, 55.57141497763821)","(19.698516605609274, 48.62614487926728)","(21.7242288426048, 41.38908575478384)","(24.03846153846154, 34.022720652490534)","(26.157879405767552, 20.29821695457231)","(23.839114224381422, 47.52990966061691)"
albert-base-v2_batch2-train,wav2vec2-base-960h_batch2-inf,"(3.9331366764995086, 51.38619106480664)","(7.564698075646981, 46.22716441620334)","(10.655784163690981, 39.767680218653915)","(13.296452661716893, 34.63254983635823)","(16.01575882151422, 29.12621359223301)","(18.739652682376978, 23.858325817824056)","(20.763979010325567, 18.71502990546016)","(23.162093950989174, 13.1501649419314)","(25.620260619892512, 6.566254865459468)","(16.260940264957675, 34.23126690977532)"
albert-base-v2_batch2-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(7.342978277022596, 54.737832118504585)","(10.382327308552158, 47.60930917419935)","(13.015696390336014, 42.29958572570681)","(15.808268288896102, 35.51758333969029)","(18.517058445873648, 28.180607674615665)","(20.582092568887692, 20.90648657871813)","(23.095462400517857, 14.170927684441198)","(25.509073154366437, 7.283694910799768)","(10.352841749418973, 55.06540199162665)"
albert-base-v2_batch2-train,bert-base-cased_batch2-inf,"(3.9056632116569023, 84.57639391745111)","(7.4262263044752785, 73.95213372166646)","(10.514210612781337, 63.29251110870272)","(13.141743086143403, 54.92335182921095)","(15.969535040845159, 45.19424237734097)","(18.75824336866787, 35.88546147228708)","(20.954875580426243, 28.26444681057013)","(23.450586264656614, 19.870704321197685)","(25.931286661080215, 9.729279466888796)","(17.656090071647903, 51.622027755679305)"
albert-base-v2_batch8-train,whisper-large-v2_batch2-inf,"(3.9158100832109644, 2.902222044919615)","(7.651672802945414, 2.5304457845468895)","(11.265731865674546, 2.244391912476428)","(14.595922578696873, 1.9989696032972697)","(17.41072946666562, 1.6501369443546605)","(21.01746590337804, 1.2631825689487153)","(23.354142473101035, 0.9953533076684961)","(26.318445289840763, 0.6737007819327804)","(29.569323526605704, 0.33366489610236977)","(None, None)"
albert-base-v2_batch8-train,bert-base-cased_batch8-inf,"(3.793716656787196, 93.841642228739)","(7.230984769738329, 82.53833651332062)","(10.832070666365777, 71.80180734001353)","(14.060128351929274, 62.79569892473118)","(None, None)","(20.34049717397653, 41.93293602355138)","(22.72585689189021, 30.304209638710518)","(26.22241316212389, 19.460504173678334)","(29.623625795121797, 9.670675415536834)","(16.948371943075575, 57.575234762033865)"
